,LEGALS,SCORE
483,confiscate,1.0
484,conflict of interest,1.0
485,conflict of law,1.0
486,confrontation,1.0
487,confusingly similar,1.0
488,conjugal rights,1.0
489,conscientious objector,1.0
490,conscious parallelism,1.0
491,consent,1.0
492,consent decree,1.0
493,consent judgment,1.0
494,consequential damages,1.0
495,conservatee,1.0
496,conservator,1.0
497,consideration,1.0
498,consign,1.0
499,consignee,1.0
500,consignment,1.0
501,consortium,1.0
502,conspiracy,1.0
503,conspirator,1.0
504,constable,1.0
505,constitution,1.0
506,constitutional rights,1.0
507,construction,1.0
508,constructive,1.0
509,constructive eviction,1.0
510,constructive fraud,1.0
511,constructive notice,1.0
512,constructive possession,1.0
513,constructive trust,1.0
514,construe,1.0
515,consumer protection laws,1.0
516,contemplation of death,1.0
517,contempt of court,1.0
518,contiguous,1.0
519,contingency,1.0
520,contingent,1.0
521,contingent beneficiary,1.0
522,contingent fee,1.0
523,contingent interest,1.0
524,contingent remainder,1.0
525,continuance,1.0
526,continuing objection,1.0
527,continuing trespass,1.0
528,contra,1.0
529,contract,1.0
530,contract of adhesion,1.0
531,contractor,1.0
532,contribution,1.0
533,contributory negligence,1.0
534,control,1.0
535,controlled substance,1.0
536,controlling law,1.0
537,controversy,1.0
538,conversion,1.0
539,convey,1.0
540,conveyance,1.0
541,convict,1.0
542,conviction,1.0
543,cooperative,1.0
544,cooperative housing,1.0
545,cop a plea,1.0
546,copartner,1.0
547,copyright,1.0
548,coroner,1.0
549,corporate opportunity,1.0
550,corporation,1.0
551,corpus,1.0
552,corpus delicti,1.0
553,corpus juris,1.0
554,corroborate,1.0
555,corroborating evidence,1.0
556,cosign,1.0
557,cost bill,1.0
558,cost of completion,1.0
559,costs,1.0
560,cotenancy,1.0
561,cotenant,1.0
562,counsel,1.0
563,counsellor,1.0
564,count,1.0
565,counter offer,1.0
566,counterclaim,1.0
567,counterfeit,1.0
568,counterpart,1.0
569,course,1.0
570,course of employment,1.0
571,court,1.0
572,court calendar,1.0
573,court costs,1.0
574,court docket,1.0
575,court of appeals,1.0
576,Court of Customs and Patent Appeals,1.0
577,court of equity,1.0
578,court of law,1.0
579,court trial,1.0
580,court-martial,1.0
581,covenant,1.0
582,covenant not to compete,1.0
583,covenant that runs with the land,1.0
584,"covenants, conditions and restrictions",1.0
585,credibility,1.0
586,credible witness,1.0
587,creditor,1.0
588,creditor's claim,1.0
589,creditor's rights,1.0
590,crime,1.0
591,crime against nature,1.0
592,crime of passion,1.0
593,criminal,1.0
594,criminal attorney,1.0
595,criminal calendar,1.0
596,criminal justice,1.0
597,criminal law,1.0
598,cross-complaint,1.0
599,cross-examination,1.0
600,cruel and unusual punishment,1.0
601,cruelty,1.0
602,cruelty to animals,1.0
603,culpability,1.0
604,culpable,1.0
605,cumis counsel,1.0
606,cumulative sentence,1.0
607,cumulative voting,1.0
608,curtesy,1.0
609,custody,1.0
610,Customs Court,1.0
611,cut a check,1.0
612,cy pres doctrine,1.0
613,D.A.,1.0
614,d.b.a.,1.0
615,D.U.I.,1.0
616,D.W.I.,1.0
617,damages,1.0
618,dangerous,1.0
619,dangerous weapon,1.0
620,date rape,1.0
621,day in court,1.0
622,de facto,1.0
623,de facto corporation,1.0
624,de jure,1.0
625,de jure corporation,1.0
626,de minimis,1.0
627,de novo,1.0
628,deadly weapon,1.0
629,dealer,1.0
630,death penalty,1.0
631,death row,1.0
632,debenture,1.0
633,debt,1.0
634,debtor,1.0
635,debtor in possession,1.0
636,deceased,1.0
637,decedent,1.0
638,deceit,1.0
639,deception,1.0
640,decide,1.0
641,decision,1.0
642,declarant,1.0
643,declaration,1.0
644,declaration of mailing,1.0
645,declaration of trust,1.0
646,declaratory judgment,1.0
647,declaratory relief,1.0
648,decree,1.0
649,decriminalization,1.0
650,dedication,1.0
651,deduction,1.0
652,deed,1.0
653,deed of trust,1.0
654,defalcation,1.0
655,defamation,1.0
656,default,1.0
657,default judgment,1.0
658,defeasance,1.0
659,defect,1.0
660,defective,1.0
661,defective title,1.0
662,defendant,1.0
663,defense,1.0
664,defense attorney,1.0
665,deficiency judgment,1.0
666,deficit,1.0
667,defraud,1.0
668,degree of kinship,1.0
669,delayed exchange,1.0
670,delegate,1.0
671,deleterious,1.0
672,deliberate,1.0
673,deliberation,1.0
674,delinquent,1.0
675,deliver,1.0
676,delivery,1.0
677,demand,1.0
678,demand note,1.0
679,demise,1.0
680,demonstrative evidence,1.0
681,demurrer,1.0
682,denial,1.0
683,dependent,1.0
684,depletion,1.0
685,deponent,1.0
686,deportation,1.0
687,depose,1.0
688,deposition,1.0
689,depreciate,1.0
690,depreciation,1.0
691,depreciation reserve,1.0
692,derelict,1.0
693,dereliction,1.0
694,derivative action,1.0
695,descent,1.0
696,descent and distribution,1.0
697,desert,1.0
698,desertion,1.0
699,determinable,1.0
700,deuce,1.0
701,devise,1.0
702,devisee,1.0
703,devolution,1.0
704,devolve,1.0
705,dicta,1.0
706,dictum,1.0
707,diligence,1.0
708,diminished capacity,1.0
709,diminution in value,1.0
710,direct and proximate cause,1.0
711,direct evidence,1.0
712,direct examination,1.0
713,directed verdict,1.0
714,director,1.0
715,disability,1.0
716,disbar,1.0
717,disbarment,1.0
718,discharge,1.0
719,discharge in bankruptcy,1.0
720,disclaimer,1.0
721,discount,1.0
722,discovery,1.0
723,discretion,1.0
724,discrimination,1.0
725,disfigure,1.0
726,dishonor,1.0
727,disinherit,1.0
728,disinheritance,1.0
729,disjunctive allegations,1.0
730,dismiss,1.0
731,dismissal,1.0
732,dismissal with prejudice,1.0
733,dismissal without prejudice,1.0
734,disorderly conduct,1.0
735,disorderly house,1.0
736,disposing mind and memory,1.0
737,disposition,1.0
738,dispossess,1.0
739,dissent,1.0
740,dissenting opinion,1.0
741,dissolution,1.0
742,dissolution of corporation,1.0
743,distinguish,1.0
744,distress,1.0
745,distribute,1.0
746,distribution,1.0
747,District Attorney (D.A.),1.0
748,district court,1.0
749,disturbing the peace,1.0
750,diversion,1.0
751,diversity of citizenship,1.0
752,divestiture,1.0
753,divestment,1.0
754,dividend,1.0
755,divorce,1.0
756,DNA,1.0
757,docket,1.0
758,document,1.0
759,documentary evidence,1.0
760,doing business,1.0
761,domestic partners,1.0
762,domestic relations,1.0
763,domestic violence,1.0
764,domicile,1.0
765,dominant estate,1.0
766,dominant tenement,1.0
767,donation,1.0
768,donative intent,1.0
769,donee,1.0
770,donor,1.0
771,double jeopardy,1.0
772,double taxation,1.0
773,dower,1.0
774,dowry,1.0
775,draft,1.0
776,dram shop rule,1.0
777,draw,1.0
778,drawee,1.0
779,drawer,1.0
780,driving under the influence (DUI),1.0
781,driving while intoxicated,1.0
782,drop dead date,1.0
783,due,1.0
784,due and owing,1.0
785,due care,1.0
786,due process of law,1.0
787,"due, owing and unpaid",1.0
788,duress,1.0
789,duty,1.0
790,duty of care,1.0
791,dying declaration,1.0
792,earnest payment,1.0
793,easement,1.0
794,egress,1.0
795,EIR,1.0
796,ejectment,1.0
797,ejusdem generis,1.0
798,elder law,1.0
799,election of remedies,1.0
800,election under the will,1.0
801,eleemosynary,1.0
802,element,1.0
803,emancipation,1.0
804,embezzlement,1.0
805,embezzler,1.0
806,emblements,1.0
807,emergency,1.0
808,eminent domain,1.0
809,emolument,1.0
810,emotional distress,1.0
811,employee,1.0
812,employer,1.0
813,employment,1.0
814,en banc,1.0
815,enabling clause,1.0
816,enclosure,1.0
817,encroach,1.0
818,encroachment,1.0
819,encumbrance,1.0
820,endorse (indorse),1.0
821,endorsement,1.0
822,endowment,1.0
823,enjoin,1.0
824,enjoyment,1.0
825,enter a judgment,1.0
826,entity,1.0
827,entrapment,1.0
828,entry of judgment,1.0
829,environmental impact report,1.0
830,environmental law,1.0
831,equal opportunity,1.0
832,equal protection of the law,1.0
833,equitable,1.0
834,equitable estoppel,1.0
835,equitable lien,1.0
836,equity,1.0
837,equity of redemption,1.0
838,equivalent,1.0
839,ergo,1.0
840,erroneous,1.0
841,error,1.0
842,errors and omissions,1.0
843,escalator clause,1.0
844,escape clause,1.0
845,escheat,1.0
846,escrow,1.0
847,escrow agent,1.0
848,escrow instructions,1.0
849,espionage,1.0
850,esquire,1.0
851,estate,1.0
852,estate by entirety,1.0
853,estate tax,1.0
854,estop,1.0
855,estoppel,1.0
856,et al.,1.0
857,et seq.,1.0
858,et ux.,1.0
859,evasion of tax,1.0
860,eviction,1.0
861,evidence,1.0
862,ex delicto,1.0
863,ex officio,1.0
864,ex parte,1.0
865,ex post facto,1.0
866,ex rel.,1.0
867,examination,1.0
868,exception,1.0
869,exception in deed,1.0
870,excessive bail,1.0
871,exchange,1.0
872,excise,1.0
873,exclusionary rule,1.0
874,exculpatory,1.0
875,excusable neglect,1.0
876,execute,1.0
877,executed,1.0
878,execution,1.0
879,executive clemency,1.0
880,executive order,1.0
881,executive privilege,1.0
882,executor,1.0
883,executory,1.0
884,executory interest,1.0
885,executrix,1.0
886,exemplary damages,1.0
887,exemption,1.0
888,exhibit,1.0
889,expectancy,1.0
890,expense,1.0
891,expert testimony,1.0
892,expert witness,1.0
893,express,1.0
894,express contract,1.0
895,expropriation,1.0
896,extension,1.0
897,extenuating circumstances,1.0
898,extinguishment,1.0
899,extortion,1.0
900,extradition,1.0
901,extrajudicial,1.0
902,extraordinary fees,1.0
903,extreme cruelty,1.0
904,extrinsic fraud,1.0
905,eyewitness,1.0
906,face amount,1.0
907,face value,1.0
908,fact,1.0
909,fact finder (finder of fact),1.0
910,factor,1.0
911,failure of consideration,1.0
912,failure of issue,1.0
913,fair comment,1.0
914,fair market value,1.0
915,fair trade laws,1.0
916,fair use,1.0
917,false arrest,1.0
918,false imprisonment,1.0
919,false pretenses,1.0
920,family,1.0
921,family purpose doctrine,1.0
922,federal courts,1.0
923,federal question,1.0
924,Federal Tort Claims Act,1.0
925,fee,1.0
926,fee simple,1.0
927,fee tail,1.0
928,felon,1.0
929,felonious,1.0
930,felony,1.0
931,felony murder doctrine,1.0
932,fertile octogenarian,1.0
933,fictitious defendants,1.0
934,fiduciary,1.0
935,fiduciary relationship,1.0
936,fighting words,1.0
937,file,1.0
938,final decree,1.0
939,final judgment,1.0
940,final settlement,1.0
941,finding,1.0
942,findings of fact,1.0
943,firm offer,1.0
944,first degree murder,1.0
945,first impression,1.0
946,fixture,1.0
947,flight,1.0
948,floating easement,1.0
949,FOB,1.0
950,for value received,1.0
951,forbearance,1.0
952,forced sale,1.0
953,forcible entry,1.0
954,foreclosure,1.0
955,foreclosure sale,1.0
956,foreign corporation,1.0
957,forensic,1.0
958,forensic medicine,1.0
959,forensic testimony,1.0
960,forensics,1.0
961,foreseeability,1.0
962,foreseeable risk,1.0
963,forfeit,1.0
964,forfeiture,1.0
965,forger,1.0
966,forgery,1.0
967,fornication,1.0
968,forthwith,1.0
969,forum,1.0
970,forum non conveniens,1.0
971,foster child,1.0
972,four corners of an instrument,1.0
973,franchise,1.0
974,franchise tax,1.0
975,fraud,1.0
976,fraud in the inducement,1.0
977,fraudulent conveyance,1.0
978,free and clear,1.0
979,free on board (FOB),1.0
980,freehold,1.0
981,fresh pursuit,1.0
982,friendly suit,1.0
983,frisk,1.0
984,frivolous,1.0
985,fruit of the poisonous tree,1.0
986,frustration of purpose,1.0
987,fugitive from justice,1.0
988,full disclosure,1.0
989,full faith and credit,1.0
990,fungible things,1.0
991,future interest,1.0
992,gag order,1.0
993,garnish,1.0
994,garnishee,1.0
995,garnishment,1.0
996,gender bias,1.0
997,general appearance,1.0
998,general counsel,1.0
999,general damages,1.0
1000,general denial,1.0
1001,general partner,1.0
1002,general plan,1.0
1003,generation skipping,1.0
1004,gift,1.0
1005,gift in contemplation of death,1.0
1006,gift tax,1.0
1007,go bail,1.0
1008,good cause,1.0
1009,good faith,1.0
1010,Good Samaritan rule,1.0
1011,good title,1.0
1012,goods,1.0
1013,goodwill,1.0
1014,governmental immunity,1.0
1015,grace period,1.0
1016,Grand Jury,1.0
1017,grand larceny,1.0
1018,grand theft,1.0
1019,grandfather clause,1.0
1020,grandfathered in,1.0
1021,grant,1.0
1022,grant deed,1.0
1023,grantee,1.0
1024,grantor,1.0
1025,grantor-grantee index,1.0
1026,gratuitous,1.0
1027,gravamen,1.0
1028,gross income,1.0
1029,gross negligence,1.0
1030,guarantee,1.0
1031,guarantor,1.0
1032,guaranty,1.0
1033,guardian,1.0
1034,guardian ad litem,1.0
1035,guest,1.0
1036,guest statute,1.0
1037,guilty,1.0
1038,habeas corpus,1.0
1039,habitable,1.0
1040,habitual criminal,1.0
1041,half blood,1.0
1042,harass,1.0
1043,harassment,1.0
1044,harmless error,1.0
1045,head of household,1.0
1046,headnote,1.0
1047,hearing,1.0
1048,hearsay,1.0
1049,hearsay rule,1.0
1050,heat of passion,1.0
1051,heir,1.0
1052,heir apparent,1.0
1053,heiress,1.0
1054,heirs of the body,1.0
1055,held,1.0
1056,hereditament,1.0
1057,hidden asset,1.0
1058,highway,1.0
1059,hit and run,1.0
1060,hobby loss,1.0
1061,hold harmless,1.0
1062,holder,1.0
1063,holder in due course,1.0
1064,holding,1.0
1065,holding company,1.0
1066,holdover tenancy,1.0
1067,holographic will,1.0
1068,home rule,1.0
1069,homestead,1.0
1070,hometowned,1.0
1071,homicide,1.0
1072,hornbook law,1.0
1073,hostile possession,1.0
1074,hostile witness,1.0
1075,hot pursuit,1.0
1076,hotchpot,1.0
1077,house counsel,1.0
1078,household,1.0
1079,hung jury,1.0
1080,hypothecate,1.0
1081,i.e.,1.0
1082,illegal,1.0
1083,illegal immigrant,1.0
1084,illusory promise,1.0
1085,immaterial,1.0
1086,immediately,1.0
1087,immunity,1.0
1088,impanel,1.0
1089,impaneling,1.0
1090,impeach,1.0
1091,impeachment,1.0
1092,impleader,1.0
1093,implied,1.0
1094,implied consent,1.0
1095,implied contract,1.0
1096,implied covenant of good faith and fair dealing,1.0
1097,implied warranty,1.0
1098,impossibility,1.0
1099,impotence,1.0
1100,impound,1.0
1101,improvement,1.0
1102,impute,1.0
1103,in absentia,1.0
1104,in camera,1.0
1105,in chambers,1.0
1106,in extremis,1.0
1107,in fee simple,1.0
1108,in forma pauperis,1.0
1109,in haec verba,1.0
1110,in kind,1.0
1111,in lieu,1.0
1112,in limine,1.0
1113,in loco parentis,1.0
1114,in pari delicto,1.0
1115,in perpetuity,1.0
1116,in personam,1.0
1117,in pro per,1.0
1118,in propria persona,1.0
1119,in re,1.0
1120,in rem,1.0
1121,in terrorem clause,1.0
1122,in toto,1.0
1123,incapacity,1.0
1124,incest,1.0
1125,inchoate,1.0
1126,incidental beneficiary,1.0
1127,income,1.0
1128,income tax,1.0
1129,incompatibility,1.0
1130,incompatible,1.0
1131,incompetency,1.0
1132,incompetent,1.0
1133,incompetent evidence,1.0
1134,incontrovertible evidence,1.0
1135,incorporate,1.0
1136,incorporate by reference,1.0
1137,incorporation,1.0
1138,incorporeal,1.0
1139,incriminate,1.0
1140,incumbrance,1.0
1141,indecent exposure,1.0
1142,indefeasible,1.0
1143,indemnify,1.0
1144,indemnity,1.0
1145,indenture,1.0
1146,independent contractor,1.0
1147,indeterminate sentence,1.0
1148,indicia,1.0
1149,indictable offense,1.0
1150,indictment,1.0
1151,indigent,1.0
1152,indispensable party,1.0
1153,indorse,1.0
1154,indorsement,1.0
1155,infancy,1.0
1156,inference,1.0
1157,information,1.0
1158,information and belief,1.0
1159,informed consent,1.0
1160,infra,1.0
1161,infringement,1.0
1162,ingress,1.0
1163,inherit,1.0
1164,inheritance,1.0
1165,injunction,1.0
1166,injunctive relief,1.0
1167,injury,1.0
1168,innocent,1.0
1169,innuendo,1.0
1170,inquest,1.0
1171,insanity,1.0
1172,insanity defense,1.0
1173,insertion,1.0
1174,insider,1.0
1175,insider trading,1.0
1176,insolvency,1.0
1177,inspection of documents,1.0
1178,installment contract,1.0
1179,instruction,1.0
1180,instrument,1.0
1181,insufficient evidence,1.0
1182,insurance,1.0
1183,insured,1.0
1184,insurer,1.0
1185,intangible property,1.0
1186,integration,1.0
1187,intent,1.0
1188,inter alia,1.0
1189,inter se,1.0
1190,inter vivos,1.0
1191,inter vivos trust,1.0
1192,interest,1.0
1193,interim order,1.0
1194,interlineation,1.0
1195,interlocutory,1.0
1196,interlocutory decree,1.0
1197,international law,1.0
1198,interpleader,1.0
1199,interrogation,1.0
1200,interrogatories,1.0
1201,interstate commerce,1.0
1202,intervene,1.0
1203,intervening cause,1.0
1204,intervention,1.0
1205,intestacy,1.0
1206,intestate,1.0
1207,intestate succession,1.0
1208,intoxication,1.0
1209,intrinsic fraud,1.0
1210,inure,1.0
1211,invasion of privacy,1.0
1212,inverse condemnation,1.0
1213,invest,1.0
1214,investment,1.0
1215,invitee,1.0
1216,involuntary,1.0
1217,ipse dixit,1.0
1218,ipso facto,1.0
1219,irreconcilable differences,1.0
1220,irrelevant,1.0
1221,irreparable damage or injury,1.0
1222,issue,1.0
1223,J,1.0
1224,Jane Doe,1.0
