,COMMONS,SCORE
118,anywhere,0.0
119,apart,0.0
120,apartment,0.0
121,apparent,0.0
122,apparently,0.0
123,apple,0.0
124,application,0.0
125,apply,0.0
126,appoint,0.0
127,appointment,0.0
128,appropriate,0.0
129,approval,0.0
130,approve,0.0
131,approximately,0.0
132,Arab,0.0
133,architect,0.0
134,area,0.0
135,argue,0.0
136,argument,0.0
137,arise,0.0
138,arm,0.0
139,armed,0.0
140,army,0.0
141,around,0.0
142,arrange,0.0
143,arrangement,0.0
144,arrival,0.0
145,arrive,0.0
146,art,0.0
147,artist,0.0
148,artistic,0.0
149,as,0.0
150,Asian,0.0
151,aside,0.0
152,ask,0.0
153,asleep,0.0
154,aspect,0.0
155,assert,0.0
156,assessment,0.0
157,assist,0.0
158,assistance,0.0
159,assistant,0.0
160,associate,0.0
161,assure,0.0
162,at,0.0
163,athlete,0.0
164,athletic,0.0
165,atmosphere,0.0
166,attach,0.0
167,attack,0.0
168,attend,0.0
169,attention,0.0
170,attitude,0.0
171,attract,0.0
172,attractive,0.0
173,attribute,0.0
174,audience,0.0
175,author,0.0
176,auto,0.0
177,available,0.0
178,average,0.0
179,avoid,0.0
180,aware,0.0
181,awareness,0.0
182,away,0.0
183,awful,0.0
184,baby,0.0
185,back,0.0
186,background,0.0
187,bad,0.0
188,badly,0.0
189,bag,0.0
190,bake,0.0
191,balance,0.0
192,ball,0.0
193,ban,0.0
194,band,0.0
195,barely,0.0
196,barrel,0.0
197,barrier,0.0
198,base,0.0
199,baseball,0.0
200,basic,0.0
201,basically,0.0
202,basket,0.0
203,basketball,0.0
204,bathroom,0.0
205,battle,0.0
206,be,0.0
207,beach,0.0
208,bean,0.0
209,bear,0.0
210,beat,0.0
211,beautiful,0.0
212,beauty,0.0
213,because,0.0
214,become,0.0
215,bed,0.0
216,bedroom,0.0
217,beer,0.0
218,before,0.0
219,begin,0.0
220,beginning,0.0
221,behavior,0.0
222,behind,0.0
223,being,0.0
224,believe,0.0
225,bell,0.0
226,belong,0.0
227,below,0.0
228,belt,0.0
229,bend,0.0
230,beneath,0.0
231,beside,0.0
232,besides,0.0
233,best,0.0
234,bet,0.0
235,better,0.0
236,between,0.0
237,beyond,0.0
238,Bible,0.0
239,big,0.0
240,bike,0.0
241,billion,0.0
242,bind,0.0
243,biological,0.0
244,bird,0.0
245,birth,0.0
246,birthday,0.0
247,bit,0.0
248,bite,0.0
249,black,0.0
250,blade,0.0
251,blame,0.0
252,blanket,0.0
253,blind,0.0
254,block,0.0
255,blood,0.0
256,blow,0.0
257,blue,0.0
258,board,0.0
259,boat,0.0
260,body,0.0
261,bomb,0.0
262,bombing,0.0
263,bone,0.0
264,book,0.0
265,boom,0.0
266,boot,0.0
267,border,0.0
268,born,0.0
269,borrow,0.0
270,boss,0.0
271,both,0.0
272,bother,0.0
273,bottle,0.0
274,bottom,0.0
275,boundary,0.0
276,bowl,0.0
277,box,0.0
278,boy,0.0
279,boyfriend,0.0
280,brain,0.0
281,branch,0.0
282,brand,0.0
283,bread,0.0
284,break,0.0
285,breakfast,0.0
286,breast,0.0
287,breath,0.0
288,breathe,0.0
289,brick,0.0
290,bridge,0.0
291,briefly,0.0
292,bright,0.0
293,brilliant,0.0
294,bring,0.0
295,British,0.0
296,broad,0.0
297,broken,0.0
298,brother,0.0
299,brown,0.0
300,brush,0.0
301,buck,0.0
302,budget,0.0
303,build,0.0
304,building,0.0
305,bullet,0.0
306,bunch,0.0
307,burn,0.0
308,bury,0.0
309,bus,0.0
310,busy,0.0
311,but,0.0
312,butter,0.0
313,button,0.0
314,buy,0.0
315,buyer,0.0
316,by,0.0
317,cabin,0.0
318,cabinet,0.0
319,cable,0.0
320,cake,0.0
321,calculate,0.0
322,camera,0.0
323,camp,0.0
324,campaign,0.0
325,campus,0.0
326,can,0.0
327,Canadian,0.0
328,cancer,0.0
329,candidate,0.0
330,capability,0.0
331,capable,0.0
332,capacity,0.0
333,captain,0.0
334,capture,0.0
335,car,0.0
336,carbon,0.0
337,card,0.0
338,career,0.0
339,careful,0.0
340,carefully,0.0
341,carry,0.0
342,cash,0.0
343,cast,0.0
344,cat,0.0
345,catch,0.0
346,category,0.0
347,Catholic,0.0
348,ceiling,0.0
349,celebrate,0.0
350,celebration,0.0
351,celebrity,0.0
352,cell,0.0
353,center,0.0
354,central,0.0
355,century,0.0
356,CEO,0.0
357,ceremony,0.0
358,certain,0.0
359,certainly,0.0
360,chain,0.0
361,chair,0.0
362,chairman,0.0
363,chamber,0.0
364,champion,0.0
365,championship,0.0
366,chance,0.0
367,change,0.0
368,changing,0.0
369,channel,0.0
370,chapter,0.0
371,character,0.0
372,characteristic,0.0
373,characterize,0.0
374,chart,0.0
375,chase,0.0
376,cheap,0.0
377,cheek,0.0
378,cheese,0.0
379,chef,0.0
380,chemical,0.0
381,chest,0.0
382,chicken,0.0
383,chief,0.0
384,childhood,0.0
385,Chinese,0.0
386,chip,0.0
387,chocolate,0.0
388,choice,0.0
389,cholesterol,0.0
390,choose,0.0
391,Christian,0.0
392,Christmas,0.0
393,church,0.0
394,cigarette,0.0
395,circle,0.0
396,circumstance,0.0
397,city,0.0
398,civilian,0.0
399,classic,0.0
400,classroom,0.0
401,clean,0.0
402,clear,0.0
403,clearly,0.0
404,client,0.0
405,climate,0.0
406,climb,0.0
407,clinic,0.0
408,clinical,0.0
409,clock,0.0
410,close,0.0
411,closely,0.0
412,closer,0.0
413,clothes,0.0
414,clothing,0.0
415,cloud,0.0
416,club,0.0
417,clue,0.0
418,cluster,0.0
419,coach,0.0
420,coal,0.0
421,coalition,0.0
422,coast,0.0
423,coat,0.0
424,coffee,0.0
425,cognitive,0.0
426,cold,0.0
427,collapse,0.0
428,colleague,0.0
429,collect,0.0
430,collection,0.0
431,collective,0.0
432,college,0.0
433,colonial,0.0
434,color,0.0
435,column,0.0
436,combination,0.0
437,combine,0.0
438,come,0.0
439,comedy,0.0
440,comfort,0.0
441,comfortable,0.0
442,command,0.0
443,commander,0.0
444,commercial,0.0
445,commit,0.0
446,committee,0.0
447,common,0.0
448,communicate,0.0
449,communication,0.0
450,community,0.0
451,compare,0.0
452,comparison,0.0
453,compete,0.0
454,competition,0.0
455,competitive,0.0
456,competitor,0.0
457,complain,0.0
458,complete,0.0
459,completely,0.0
460,complex,0.0
461,complicated,0.0
462,component,0.0
463,compose,0.0
464,composition,0.0
465,comprehensive,0.0
466,computer,0.0
467,concentrate,0.0
468,concentration,0.0
469,concept,0.0
470,concern,0.0
471,concerned,0.0
472,concert,0.0
473,conclude,0.0
474,concrete,0.0
475,conduct,0.0
476,conference,0.0
477,confidence,0.0
478,confident,0.0
479,confirm,0.0
480,conflict,0.0
481,confront,0.0
482,confusion,0.0
483,Congress,0.0
484,congressional,0.0
485,connect,0.0
486,connection,0.0
487,consciousness,0.0
488,consensus,0.0
489,consequence,0.0
490,conservative,0.0
491,consider,0.0
492,considerable,0.0
493,consist,0.0
494,consistent,0.0
495,constant,0.0
496,constantly,0.0
497,constitute,0.0
498,constitutional,0.0
499,construct,0.0
500,consultant,0.0
501,consume,0.0
502,consumer,0.0
503,consumption,0.0
504,contact,0.0
505,contain,0.0
506,container,0.0
507,contemporary,0.0
508,content,0.0
509,contest,0.0
510,context,0.0
511,continue,0.0
512,continued,0.0
513,contrast,0.0
514,contribute,0.0
515,controversial,0.0
516,convention,0.0
517,conventional,0.0
518,conversation,0.0
519,convert,0.0
520,convince,0.0
521,cook,0.0
522,cookie,0.0
523,cooking,0.0
524,cool,0.0
525,cooperation,0.0
526,cop,0.0
527,cope,0.0
528,copy,0.0
529,core,0.0
530,corn,0.0
531,corner,0.0
532,corporate,0.0
533,correct,0.0
534,correspondent,0.0
535,cost,0.0
536,cotton,0.0
537,couch,0.0
538,could,0.0
539,council,0.0
540,counselor,0.0
541,counter,0.0
542,country,0.0
543,county,0.0
544,couple,0.0
545,courage,0.0
546,cousin,0.0
547,cover,0.0
548,coverage,0.0
549,cow,0.0
550,crack,0.0
551,craft,0.0
552,crash,0.0
553,crazy,0.0
554,cream,0.0
555,create,0.0
556,creation,0.0
557,creative,0.0
558,creature,0.0
559,credit,0.0
560,crew,0.0
561,crisis,0.0
562,criteria,0.0
563,critic,0.0
564,critical,0.0
565,criticism,0.0
566,criticize,0.0
567,crop,0.0
568,cross,0.0
569,crowd,0.0
570,crucial,0.0
571,cry,0.0
572,cultural,0.0
573,culture,0.0
574,cup,0.0
575,curious,0.0
576,current,0.0
577,currently,0.0
578,curriculum,0.0
579,custom,0.0
580,customer,0.0
581,cut,0.0
582,cycle,0.0
583,dad,0.0
584,daily,0.0
585,damage,0.0
586,dance,0.0
587,danger,0.0
588,dare,0.0
589,dark,0.0
590,darkness,0.0
591,data,0.0
592,date,0.0
593,daughter,0.0
594,day,0.0
595,dead,0.0
596,deal,0.0
597,dear,0.0
598,death,0.0
599,debate,0.0
600,decade,0.0
601,deck,0.0
602,declare,0.0
603,decline,0.0
604,decrease,0.0
605,deep,0.0
606,deeply,0.0
607,deer,0.0
608,defeat,0.0
609,defend,0.0
610,defensive,0.0
611,define,0.0
612,definitely,0.0
613,definition,0.0
614,degree,0.0
615,delay,0.0
616,democracy,0.0
617,Democrat,0.0
618,democratic,0.0
619,demonstrate,0.0
620,demonstration,0.0
621,deny,0.0
622,department,0.0
623,depend,0.0
624,depending,0.0
625,depict,0.0
626,depression,0.0
627,depth,0.0
628,deputy,0.0
629,derive,0.0
630,describe,0.0
631,description,0.0
632,deserve,0.0
633,design,0.0
634,designer,0.0
635,desire,0.0
636,desk,0.0
637,desperate,0.0
638,despite,0.0
639,destroy,0.0
640,destruction,0.0
641,detail,0.0
642,detailed,0.0
643,detect,0.0
644,determine,0.0
645,develop,0.0
646,developing,0.0
647,development,0.0
648,device,0.0
649,devote,0.0
650,dialogue,0.0
651,die,0.0
652,diet,0.0
653,differ,0.0
654,difference,0.0
655,different,0.0
656,differently,0.0
657,difficult,0.0
658,difficulty,0.0
659,dig,0.0
660,digital,0.0
661,dimension,0.0
662,dining,0.0
663,dinner,0.0
664,direct,0.0
665,direction,0.0
666,directly,0.0
667,dirt,0.0
668,dirty,0.0
669,disagree,0.0
670,disappear,0.0
671,disaster,0.0
672,discipline,0.0
673,discourse,0.0
674,discover,0.0
675,discuss,0.0
676,discussion,0.0
677,disease,0.0
678,dish,0.0
679,disorder,0.0
680,display,0.0
681,dispute,0.0
682,distance,0.0
683,distant,0.0
684,distinct,0.0
685,distinction,0.0
686,district,0.0
687,diverse,0.0
688,diversity,0.0
689,divide,0.0
690,division,0.0
691,do,0.0
692,doctor,0.0
693,dog,0.0
694,domestic,0.0
695,dominant,0.0
696,dominate,0.0
697,door,0.0
698,double,0.0
699,doubt,0.0
700,down,0.0
701,downtown,0.0
702,dozen,0.0
703,drag,0.0
704,drama,0.0
705,dramatic,0.0
706,dramatically,0.0
707,drawing,0.0
708,dream,0.0
709,dress,0.0
710,drink,0.0
711,drive,0.0
712,driver,0.0
713,drop,0.0
714,drug,0.0
715,dry,0.0
716,during,0.0
717,dust,0.0
718,each,0.0
719,eager,0.0
720,ear,0.0
721,early,0.0
722,earn,0.0
723,earnings,0.0
724,earth,0.0
725,ease,0.0
726,easily,0.0
727,east,0.0
728,eastern,0.0
729,easy,0.0
730,eat,0.0
731,economic,0.0
732,economics,0.0
733,economist,0.0
734,economy,0.0
735,edge,0.0
736,edition,0.0
737,editor,0.0
738,educate,0.0
739,education,0.0
740,educational,0.0
741,educator,0.0
742,effect,0.0
743,effective,0.0
744,effectively,0.0
745,efficiency,0.0
746,efficient,0.0
747,effort,0.0
748,egg,0.0
749,eight,0.0
750,either,0.0
751,elderly,0.0
752,elect,0.0
753,election,0.0
754,electric,0.0
755,electricity,0.0
756,electronic,0.0
757,elementary,0.0
758,eliminate,0.0
759,elite,0.0
760,else,0.0
761,elsewhere,0.0
762,e-mail,0.0
763,embrace,0.0
764,emerge,0.0
765,emission,0.0
766,emotion,0.0
767,emotional,0.0
768,emphasis,0.0
769,emphasize,0.0
770,employ,0.0
771,empty,0.0
772,enable,0.0
773,encounter,0.0
774,encourage,0.0
775,end,0.0
776,enemy,0.0
777,energy,0.0
778,enforcement,0.0
779,engage,0.0
780,engine,0.0
781,engineer,0.0
782,engineering,0.0
783,English,0.0
784,enhance,0.0
785,enjoy,0.0
786,enormous,0.0
787,enough,0.0
788,ensure,0.0
789,enter,0.0
790,enterprise,0.0
791,entertainment,0.0
792,entire,0.0
793,entirely,0.0
794,entrance,0.0
795,entry,0.0
796,environment,0.0
797,environmental,0.0
798,episode,0.0
799,equal,0.0
800,equally,0.0
801,equipment,0.0
802,era,0.0
803,escape,0.0
804,especially,0.0
805,essay,0.0
806,essential,0.0
807,essentially,0.0
808,establish,0.0
809,establishment,0.0
810,estimate,0.0
811,etc,0.0
812,ethics,0.0
813,ethnic,0.0
814,European,0.0
815,evaluate,0.0
816,evaluation,0.0
817,even,0.0
818,evening,0.0
819,event,0.0
820,eventually,0.0
821,ever,0.0
822,every,0.0
823,everybody,0.0
824,everyday,0.0
825,everyone,0.0
826,everything,0.0
827,everywhere,0.0
828,evolution,0.0
829,evolve,0.0
830,exact,0.0
831,exactly,0.0
832,examine,0.0
833,example,0.0
834,exceed,0.0
835,excellent,0.0
836,except,0.0
837,exciting,0.0
838,executive,0.0
839,exercise,0.0
840,exhibition,0.0
841,exist,0.0
842,existence,0.0
843,existing,0.0
844,expand,0.0
845,expansion,0.0
846,expect,0.0
847,expectation,0.0
848,expensive,0.0
849,experience,0.0
850,experiment,0.0
851,expert,0.0
852,explain,0.0
853,explanation,0.0
854,explode,0.0
855,explore,0.0
856,explosion,0.0
857,expose,0.0
858,exposure,0.0
859,expression,0.0
860,extend,0.0
861,extensive,0.0
862,extent,0.0
863,external,0.0
864,extra,0.0
865,extraordinary,0.0
866,extreme,0.0
867,extremely,0.0
868,eye,0.0
869,fabric,0.0
870,face,0.0
871,facility,0.0
872,factory,0.0
873,faculty,0.0
874,fade,0.0
875,fail,0.0
876,failure,0.0
877,fair,0.0
878,fairly,0.0
879,faith,0.0
880,fall,0.0
881,false,0.0
882,familiar,0.0
883,famous,0.0
884,fan,0.0
885,fantasy,0.0
886,far,0.0
887,farm,0.0
888,farmer,0.0
889,fashion,0.0
890,fast,0.0
891,fat,0.0
892,fate,0.0
893,father,0.0
894,fault,0.0
895,favor,0.0
896,favorite,0.0
897,fear,0.0
898,feature,0.0
899,federal,0.0
900,feed,0.0
901,feel,0.0
902,feeling,0.0
903,fellow,0.0
904,female,0.0
905,fence,0.0
906,few,0.0
907,fewer,0.0
908,fiber,0.0
909,fiction,0.0
910,field,0.0
911,fifteen,0.0
912,fifth,0.0
913,fifty,0.0
914,fight,0.0
915,fighter,0.0
916,fighting,0.0
917,figure,0.0
918,fill,0.0
919,film,0.0
920,final,0.0
921,finally,0.0
922,finance,0.0
923,financial,0.0
924,find,0.0
925,fine,0.0
926,finger,0.0
927,finish,0.0
928,fire,0.0
929,firm,0.0
930,first,0.0
931,fish,0.0
932,fishing,0.0
933,fit,0.0
934,fitness,0.0
935,five,0.0
936,fix,0.0
937,flag,0.0
938,flame,0.0
939,flat,0.0
940,flavor,0.0
941,flee,0.0
942,flesh,0.0
943,float,0.0
944,floor,0.0
945,flow,0.0
946,flower,0.0
947,fly,0.0
948,focus,0.0
949,folk,0.0
950,follow,0.0
951,following,0.0
952,food,0.0
953,foot,0.0
954,football,0.0
955,for,0.0
956,force,0.0
957,foreign,0.0
958,forest,0.0
959,forever,0.0
960,forget,0.0
961,form,0.0
962,formal,0.0
963,formation,0.0
964,former,0.0
965,formula,0.0
966,forth,0.0
967,fortune,0.0
968,forward,0.0
969,found,0.0
970,foundation,0.0
971,founder,0.0
972,four,0.0
973,fourth,0.0
974,frame,0.0
975,framework,0.0
976,free,0.0
977,freedom,0.0
978,freeze,0.0
979,French,0.0
980,frequency,0.0
981,frequent,0.0
982,frequently,0.0
983,fresh,0.0
984,friend,0.0
985,friendly,0.0
986,friendship,0.0
987,from,0.0
988,front,0.0
989,fruit,0.0
990,frustration,0.0
991,fuel,0.0
992,full,0.0
993,fully,0.0
994,fun,0.0
995,function,0.0
996,fund,0.0
997,fundamental,0.0
998,funding,0.0
999,funeral,0.0
1000,funny,0.0
1001,furniture,0.0
1002,furthermore,0.0
1003,future,0.0
1004,gain,0.0
1005,galaxy,0.0
1006,gallery,0.0
1007,game,0.0
1008,gang,0.0
1009,gap,0.0
1010,garage,0.0
1011,garden,0.0
1012,garlic,0.0
1013,gas,0.0
1014,gate,0.0
1015,gather,0.0
1016,gay,0.0
1017,gaze,0.0
1018,gear,0.0
1019,gender,0.0
1020,gene,0.0
1021,general,0.0
1022,generally,0.0
1023,generate,0.0
1024,generation,0.0
1025,genetic,0.0
1026,gentleman,0.0
1027,gently,0.0
1028,German,0.0
1029,gesture,0.0
1030,get,0.0
1031,ghost,0.0
1032,giant,0.0
1033,gifted,0.0
1034,girl,0.0
1035,girlfriend,0.0
1036,give,0.0
1037,given,0.0
1038,glad,0.0
1039,glance,0.0
1040,glass,0.0
1041,global,0.0
1042,glove,0.0
1043,go,0.0
1044,goal,0.0
1045,God,0.0
1046,gold,0.0
1047,golden,0.0
1048,golf,0.0
1049,good,0.0
1050,government,0.0
1051,governor,0.0
1052,grab,0.0
1053,grade,0.0
1054,gradually,0.0
1055,graduate,0.0
1056,grain,0.0
1057,grand,0.0
1058,grandfather,0.0
1059,grandmother,0.0
1060,grass,0.0
1061,grave,0.0
1062,gray,0.0
1063,great,0.0
1064,greatest,0.0
1065,green,0.0
1066,grocery,0.0
1067,ground,0.0
1068,group,0.0
1069,grow,0.0
1070,growing,0.0
1071,growth,0.0
1072,guard,0.0
1073,guess,0.0
1074,guide,0.0
1075,guideline,0.0
1076,gun,0.0
1077,guy,0.0
1078,habit,0.0
1079,habitat,0.0
1080,hair,0.0
1081,half,0.0
1082,hall,0.0
1083,hand,0.0
1084,handful,0.0
1085,handle,0.0
1086,hang,0.0
1087,happen,0.0
1088,happy,0.0
1089,hard,0.0
1090,hardly,0.0
1091,hat,0.0
1092,hate,0.0
1093,have,0.0
1094,he,0.0
1095,head,0.0
1096,headline,0.0
1097,headquarters,0.0
1098,health,0.0
1099,healthy,0.0
1100,hear,0.0
1101,heart,0.0
1102,heat,0.0
1103,heaven,0.0
1104,heavily,0.0
1105,heavy,0.0
1106,heel,0.0
1107,height,0.0
1108,helicopter,0.0
1109,hell,0.0
1110,hello,0.0
1111,help,0.0
1112,helpful,0.0
1113,her,0.0
1114,here,0.0
1115,heritage,0.0
1116,hero,0.0
1117,herself,0.0
1118,hey,0.0
1119,hi,0.0
1120,hide,0.0
1121,high,0.0
1122,highlight,0.0
1123,highly,0.0
1124,hill,0.0
1125,him,0.0
1126,himself,0.0
1127,hip,0.0
1128,hire,0.0
1129,his,0.0
1130,historian,0.0
1131,historic,0.0
1132,historical,0.0
1133,history,0.0
1134,hit,0.0
1135,hold,0.0
1136,hole,0.0
1137,holiday,0.0
1138,holy,0.0
1139,home,0.0
1140,homeless,0.0
1141,honest,0.0
1142,honey,0.0
1143,honor,0.0
1144,hope,0.0
1145,horizon,0.0
1146,horror,0.0
1147,horse,0.0
1148,hospital,0.0
1149,host,0.0
1150,hot,0.0
1151,hotel,0.0
1152,hour,0.0
1153,house,0.0
1154,housing,0.0
1155,how,0.0
1156,however,0.0
1157,huge,0.0
1158,human,0.0
1159,humor,0.0
1160,hundred,0.0
1161,hungry,0.0
1162,hunter,0.0
1163,hunting,0.0
1164,hurt,0.0
1165,husband,0.0
1166,hypothesis,0.0
1167,I,0.0
1168,ice,0.0
1169,idea,0.0
1170,ideal,0.0
1171,identification,0.0
1172,identify,0.0
1173,identity,0.0
1174,ie,0.0
1175,if,0.0
1176,ignore,0.0
1177,ill,0.0
1178,illness,0.0
1179,illustrate,0.0
1180,image,0.0
1181,imagination,0.0
1182,imagine,0.0
1183,immediate,0.0
1184,immigrant,0.0
1185,immigration,0.0
1186,impact,0.0
1187,implement,0.0
1188,implication,0.0
1189,imply,0.0
1190,importance,0.0
1191,important,0.0
1192,impose,0.0
1193,impossible,0.0
1194,impress,0.0
1195,impression,0.0
1196,impressive,0.0
1197,improve,0.0
1198,in,0.0
1199,incentive,0.0
1200,incident,0.0
1201,include,0.0
1202,including,0.0
1203,increase,0.0
1204,increased,0.0
1205,increasing,0.0
1206,increasingly,0.0
1207,incredible,0.0
1208,indeed,0.0
1209,independence,0.0
1210,independent,0.0
1211,index,0.0
1212,Indian,0.0
1213,indicate,0.0
1214,indication,0.0
1215,individual,0.0
1216,industrial,0.0
1217,industry,0.0
1218,infant,0.0
1219,infection,0.0
1220,inflation,0.0
1221,influence,0.0
1222,inform,0.0
1223,ingredient,0.0
1224,initial,0.0
1225,initially,0.0
1226,initiative,0.0
1227,inner,0.0
1228,inquiry,0.0
1229,inside,0.0
1230,insight,0.0
1231,insist,0.0
1232,inspire,0.0
1233,install,0.0
1234,instance,0.0
1235,instead,0.0
1236,institution,0.0
1237,institutional,0.0
1238,instructor,0.0
1239,intellectual,0.0
1240,intelligence,0.0
1241,intend,0.0
1242,intense,0.0
1243,intensity,0.0
1244,intention,0.0
1245,interaction,0.0
1246,interested,0.0
1247,interesting,0.0
1248,internal,0.0
1249,international,0.0
1250,Internet,0.0
1251,interpret,0.0
1252,interpretation,0.0
1253,interview,0.0
1254,into,0.0
1255,introduce,0.0
1256,introduction,0.0
1257,invasion,0.0
1258,investigate,0.0
1259,investigation,0.0
1260,investigator,0.0
1261,investor,0.0
1262,invite,0.0
1263,involve,0.0
1264,involved,0.0
1265,involvement,0.0
1266,Iraqi,0.0
1267,Irish,0.0
1268,iron,0.0
1269,Islamic,0.0
1270,island,0.0
1271,Israeli,0.0
1272,it,0.0
1273,Italian,0.0
1274,item,0.0
1275,its,0.0
1276,itself,0.0
1277,jacket,0.0
1278,jail,0.0
1279,Japanese,0.0
1280,jet,0.0
1281,Jew,0.0
1282,Jewish,0.0
1283,job,0.0
1284,join,0.0
1285,joke,0.0
1286,journal,0.0
1287,journalist,0.0
1288,journey,0.0
1289,joy,0.0
1290,juice,0.0
1291,jump,0.0
1292,junior,0.0
1293,just,0.0
1294,justify,0.0
1295,keep,0.0
1296,key,0.0
1297,kick,0.0
1298,kid,0.0
1299,kill,0.0
1300,killer,0.0
1301,killing,0.0
1302,kind,0.0
1303,king,0.0
1304,kiss,0.0
1305,kitchen,0.0
1306,knee,0.0
1307,knife,0.0
1308,knock,0.0
1309,know,0.0
1310,knowledge,0.0
1311,lab,0.0
1312,label,0.0
1313,labor,0.0
1314,laboratory,0.0
1315,lack,0.0
1316,lady,0.0
1317,lake,0.0
1318,landscape,0.0
1319,language,0.0
1320,lap,0.0
1321,large,0.0
1322,largely,0.0
1323,last,0.0
1324,late,0.0
1325,later,0.0
1326,Latin,0.0
1327,latter,0.0
1328,laugh,0.0
1329,launch,0.0
1330,lawn,0.0
1331,lawyer,0.0
1332,lay,0.0
1333,layer,0.0
1334,lead,0.0
1335,leader,0.0
1336,leadership,0.0
1337,leaf,0.0
1338,league,0.0
1339,lean,0.0
1340,learn,0.0
1341,learning,0.0
1342,least,0.0
1343,leather,0.0
1344,leave,0.0
1345,left,0.0
1346,leg,0.0
1347,legend,0.0
1348,legislation,0.0
1349,lemon,0.0
1350,length,0.0
1351,less,0.0
1352,lesson,0.0
1353,letter,0.0
1354,level,0.0
1355,liberal,0.0
1356,library,0.0
1357,lie,0.0
1358,life,0.0
1359,lifestyle,0.0
1360,lifetime,0.0
1361,lift,0.0
1362,light,0.0
1363,like,0.0
1364,likely,0.0
1365,limit,0.0
1366,limitation,0.0
1367,limited,0.0
1368,line,0.0
1369,link,0.0
1370,lip,0.0
1371,list,0.0
1372,listen,0.0
1373,literally,0.0
1374,literary,0.0
1375,literature,0.0
1376,little,0.0
1377,live,0.0
1378,living,0.0
1379,load,0.0
1380,loan,0.0
1381,local,0.0
1382,locate,0.0
1383,location,0.0
1384,lock,0.0
1385,long,0.0
1386,long-term,0.0
1387,look,0.0
1388,loose,0.0
1389,lose,0.0
1390,lost,0.0
1391,lot,0.0
1392,lots,0.0
1393,loud,0.0
1394,love,0.0
1395,lovely,0.0
1396,lover,0.0
1397,low,0.0
1398,lower,0.0
1399,luck,0.0
1400,lucky,0.0
1401,lunch,0.0
1402,lung,0.0
1403,machine,0.0
1404,mad,0.0
1405,magazine,0.0
1406,mail,0.0
1407,main,0.0
1408,mainly,0.0
1409,maintain,0.0
1410,maintenance,0.0
1411,major,0.0
1412,makeup,0.0
1413,male,0.0
1414,mall,0.0
1415,man,0.0
1416,manage,0.0
1417,management,0.0
1418,manager,0.0
1419,manner,0.0
1420,manufacturer,0.0
1421,manufacturing,0.0
1422,many,0.0
1423,map,0.0
1424,margin,0.0
1425,market,0.0
1426,marketing,0.0
1427,married,0.0
1428,marry,0.0
1429,mask,0.0
1430,mass,0.0
1431,massive,0.0
1432,match,0.0
1433,math,0.0
1434,matter,0.0
1435,maybe,0.0
1436,mayor,0.0
1437,me,0.0
1438,meal,0.0
1439,mean,0.0
1440,meaning,0.0
1441,meanwhile,0.0
1442,measure,0.0
1443,measurement,0.0
1444,meat,0.0
1445,mechanism,0.0
1446,media,0.0
1447,medical,0.0
1448,medication,0.0
1449,medicine,0.0
1450,medium,0.0
1451,meet,0.0
1452,meeting,0.0
1453,member,0.0
1454,membership,0.0
1455,memory,0.0
1456,mental,0.0
1457,mention,0.0
1458,menu,0.0
1459,mere,0.0
1460,merely,0.0
1461,mess,0.0
